,PRED,SIGMA
844,344.7743,105.739235
845,344.76083,105.747955
846,344.74677,105.75625
847,344.7321,105.76434
848,344.71674,105.77197
849,344.70084,105.77948
850,344.68423,105.78651
851,344.66702,105.79328
852,344.6492,105.79974
853,344.63074,105.80592
854,344.6117,105.811745
855,344.59204,105.817314
856,344.57166,105.822464
857,344.55072,105.82738
858,344.5291,105.83193
859,344.5069,105.836136
860,344.4841,105.84012
861,344.46063,105.84379
862,344.43658,105.84709
863,344.41187,105.85004
864,344.38654,105.8527
865,344.3606,105.85509
866,344.334,105.85714
867,344.30682,105.85885
868,344.279,105.86022
869,344.2505,105.86135
870,344.22144,105.86207
871,344.1917,105.86262
872,344.16138,105.86269
873,344.1305,105.86261
874,344.09888,105.86204
875,344.06665,105.86123
876,344.0338,105.8601
877,344.00034,105.858635
878,343.9663,105.856926
879,343.93158,105.85483
880,343.89624,105.85253
881,343.86035,105.84975
882,343.8237,105.84671
883,343.78644,105.84335
884,343.74863,105.839714
885,343.71014,105.83574
886,343.67108,105.83145
887,343.63138,105.82686
888,343.59103,105.821915
889,343.55008,105.81673
890,343.50848,105.81113
891,343.4663,105.80531
892,343.4234,105.79908
893,343.37994,105.79256
894,343.33582,105.7858
895,343.29108,105.778694
896,343.24573,105.771225
897,343.19974,105.76349
898,343.15308,105.755455
899,343.10587,105.74704
900,343.05795,105.7383
901,343.00946,105.72941
902,342.96036,105.720116
903,342.91058,105.710526
904,342.86023,105.70066
905,342.8092,105.69044
906,342.7575,105.67991
907,342.70526,105.669136
908,342.65228,105.657936
909,342.59875,105.64652
910,342.5445,105.63472
911,342.4897,105.62268
912,342.43427,105.61031
913,342.3781,105.59757
914,342.32132,105.58461
915,342.26392,105.57134
916,342.2059,105.557785
917,342.14722,105.54388
918,342.08795,105.52969
919,342.02792,105.51508
920,341.96732,105.500305
921,341.90604,105.48515
922,341.84418,105.46974
923,341.78162,105.4541
924,341.71838,105.43803
925,341.65454,105.42172
926,341.59003,105.40513
927,341.52487,105.38819
928,341.45905,105.37093
929,341.39264,105.35346
930,341.32553,105.335625
931,341.25775,105.31747
932,341.18933,105.2991
933,341.12027,105.280304
934,341.05057,105.2613
935,340.98022,105.24203
936,340.9092,105.2224
937,340.83755,105.2024
938,340.7653,105.18223
939,340.69238,105.161674
940,340.6188,105.1408
941,340.5446,105.11959
942,340.46967,105.0981
943,340.39413,105.076324
944,340.318,105.054214
945,340.24115,105.03183
946,340.1637,105.00904
947,340.08563,104.98602
948,340.00696,104.96272
949,339.92755,104.93901
950,339.84747,104.91486
951,339.7668,104.89054
952,339.6856,104.86584
953,339.6037,104.84078
954,339.52118,104.81536
955,339.438,104.78964
956,339.35428,104.76348
957,339.26993,104.73703
958,339.18506,104.710075
959,339.09988,104.68246
960,339.0141,104.65451
961,338.92773,104.626045
962,338.8408,104.597244
963,338.75336,104.56796
964,338.66504,104.53857
965,338.57593,104.50902
966,338.48627,104.47912
967,338.39792,104.44657
968,338.31036,104.41215
969,338.22235,104.377304
970,338.13373,104.34204
971,338.04456,104.30635
972,337.95486,104.27012
973,337.86465,104.233444
974,337.77393,104.196365
975,337.6827,104.15876
976,337.591,104.12063
